date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:21:14	33006/33006	---M--	200	added ('OK')	text/html	date:Fri,%2016%20Jul%202010%2000:21:14%20GMT	http://stason.org/TULARC/finance/mutual-funds/17-What-do-mutual-funds-invest-in.html	C:/src/asi/Interns/JuliaSchwarz/Projects/WebCredibility/main/WebCredibility/Downloaded%20Web%20Pages/PagesForAllUrls/stason.org/TULARC/finance/mutual-funds/17-What-do-mutual-funds-invest-in.html	(from )
17:21:15	127/127	---M--	200	added ('OK')	text/plain	etag:%22158-4baaf1fb%22	http://stason.org/robots.txt		(from )
17:21:15	79428/79428	---MC-	200	added ('OK')	text/html	date:Fri,%2016%20Jul%202010%2000:21:10%20GMT	http://www.fool.com/investing/beginning/what-should-i-invest-in.aspx	C:/src/asi/Interns/JuliaSchwarz/Projects/WebCredibility/main/WebCredibility/Downloaded%20Web%20Pages/PagesForAllUrls/www.fool.com/investing/beginning/what-should-i-invest-in.html	(from )
17:21:15	26623/26623	---M--	200	added ('OK')	text/html	date:Fri,%2016%20Jul%202010%2000:21:14%20GMT	http://beginnersinvest.about.com/cs/mutualfunds1/a/aa031501.htm	C:/src/asi/Interns/JuliaSchwarz/Projects/WebCredibility/main/WebCredibility/Downloaded%20Web%20Pages/PagesForAllUrls/beginnersinvest.about.com/cs/mutualfunds1/a/aa031501.htm	(from )
17:21:15	339/339	---MC-	200	added ('OK')	text/plain	date:Fri,%2016%20Jul%202010%2000:21:15%20GMT	http://beginnersinvest.about.com/robots.txt		(from )
17:21:15	870/870	---MC-	200	added ('OK')	text/plain	etag:W/%222766-1278713132000%22	http://askville.amazon.com/robots.txt		(from )
17:21:15	14349/14349	---M--	200	added ('OK')	text/html	date:Fri,%2016%20Jul%202010%2000:21:16%20GMT	http://www.essortment.com/all/howtoinvestmo_rguq.htm	C:/src/asi/Interns/JuliaSchwarz/Projects/WebCredibility/main/WebCredibility/Downloaded%20Web%20Pages/PagesForAllUrls/www.essortment.com/all/howtoinvestmo_rguq.htm	(from )
17:21:16	45/45	---M--	200	added ('OK')	text/plain	etag:%228802ce-19-45d918de3cbc0%22-gzip	http://www.essortment.com/robots.txt		(from )
17:21:16	25178/25178	---M--	200	added ('OK')	text/html	date:Fri,%2016%20Jul%202010%2000:21:16%20GMT	http://mutualfunds.about.com/od/mutualfundbasics/a/mutualfund.htm	C:/src/asi/Interns/JuliaSchwarz/Projects/WebCredibility/main/WebCredibility/Downloaded%20Web%20Pages/PagesForAllUrls/mutualfunds.about.com/od/mutualfundbasics/a/mutualfund.htm	(from )
17:21:22	30730/30730	---M--	200	added ('OK')	text/html	date:Fri,%2016%20Jul%202010%2000:21:21%20GMT	http://www.rediff.com/money/2007/mar/30mfseries.htm	C:/src/asi/Interns/JuliaSchwarz/Projects/WebCredibility/main/WebCredibility/Downloaded%20Web%20Pages/PagesForAllUrls/www.rediff.com/money/2007/mar/30mfseries.htm	(from )
17:21:22	81484/81484	---MC-	200	added ('OK')	text/html	date:Fri,%2016%20Jul%202010%2000:21:19%20GMT	http://www.ehow.com/how_2003626_international-mutual-funds.html	C:/src/asi/Interns/JuliaSchwarz/Projects/WebCredibility/main/WebCredibility/Downloaded%20Web%20Pages/PagesForAllUrls/www.ehow.com/how_2003626_international-mutual-funds.html	(from )
17:21:22	97594/97594	---MC-	200	added ('OK')	text/html	date:Fri,%2016%20Jul%202010%2000:21:15%20GMT	http://askville.amazon.com/mutual-funds-invest/AnswerViewer.do?requestId=28942770	C:/src/asi/Interns/JuliaSchwarz/Projects/WebCredibility/main/WebCredibility/Downloaded%20Web%20Pages/PagesForAllUrls/askville.amazon.com/mutual-funds-invest/AnswerViewer68ad.html	(from )
17:21:23	74656/74656	---MC-	200	added ('OK')	text/html	date:Fri,%2016%20Jul%202010%2000:21:23%20GMT	http://www.ehow.com/how_2006654_invest-vanguard-mutual.html	C:/src/asi/Interns/JuliaSchwarz/Projects/WebCredibility/main/WebCredibility/Downloaded%20Web%20Pages/PagesForAllUrls/www.ehow.com/how_2006654_invest-vanguard-mutual.html	(from )
17:21:26	51788/51788	---MC-	200	added ('OK')	text/html	date:Fri,%2016%20Jul%202010%2000:21:22%20GMT	http://www.millionaireacts.com/1209/how-to-invest-in-mutual-funds.html	C:/src/asi/Interns/JuliaSchwarz/Projects/WebCredibility/main/WebCredibility/Downloaded%20Web%20Pages/PagesForAllUrls/www.millionaireacts.com/1209/how-to-invest-in-mutual-funds.html	(from )
17:21:26	50/50	---MC-	200	added ('OK')	text/plain	date:Fri,%2016%20Jul%202010%2000:21:26%20GMT	http://www.millionaireacts.com/robots.txt		(from )
